ID,Pousada,Email,WhatsApp,Qtd_Quartos,Cidade,UF,Latitude,Longitude,Tier,Funnel,Score_Combinado,Score_Qualificacao,Score_Validacao,Buying_Behavior,Dor_Principal,Local_Praia,Valores_Estimados,Comportamento_Compra,Sinais_Intencao,Redes_Sociais,Validacao,Fonte_Arquivo
4017,Pousada Toca da Coruja Unidade 47,contato@pousadatocadacoruja47.com.br,(88) 991825-8697,14,Pipa,RN,-6.221046,-35.050933,MAX,HOT,96,96,99,Premium,financeiro,Baía dos Golfinhos,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4018,Pousada Toca da Coruja Unidade 48,contato@pousadatocadacoruja48.com.br,(88) 991403-6785,27,Pipa,RN,-6.226722,-35.053707,MAX,HOT,96,96,99,Premium,financeiro,Baía dos Golfinhos,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4019,Pousada Toca da Coruja Unidade 49,contato@pousadatocadacoruja49.com.br,(88) 991851-6254,21,Pipa,RN,-6.239718,-35.035597,MAX,HOT,96,96,99,Premium,financeiro,Baía dos Golfinhos,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4020,Pousada Toca da Coruja Unidade 50,contato@pousadatocadacoruja50.com.br,(88) 991948-7605,10,Pipa,RN,-6.223011,-35.051288,MAX,HOT,96,96,99,Premium,financeiro,Baía dos Golfinhos,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4021,Pousada Jeribá,contato@pousadajeribá1.com.br,(88) 991448-4902,15,Jericoacoara,CE,-2.808159,-40.528178,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4022,Pousada Jeribá Unidade 2,contato@pousadajeribá2.com.br,(88) 991310-1837,18,Jericoacoara,CE,-2.788399,-40.509082,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4023,Pousada Jeribá Unidade 3,contato@pousadajeribá3.com.br,(88) 991979-6313,29,Jericoacoara,CE,-2.784059,-40.507062,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4024,Pousada Jeribá Unidade 4,contato@pousadajeribá4.com.br,(88) 991217-7325,28,Jericoacoara,CE,-2.777282,-40.509712,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4025,Pousada Jeribá Unidade 5,contato@pousadajeribá5.com.br,(88) 991265-4803,27,Jericoacoara,CE,-2.786779,-40.489396,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4026,Pousada Jeribá Unidade 6,contato@pousadajeribá6.com.br,(88) 991820-9580,21,Jericoacoara,CE,-2.78759,-40.5369,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4027,Pousada Jeribá Unidade 7,contato@pousadajeribá7.com.br,(88) 991124-6331,12,Jericoacoara,CE,-2.777285,-40.511113,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4028,Pousada Jeribá Unidade 8,contato@pousadajeribá8.com.br,(88) 991742-6029,16,Jericoacoara,CE,-2.814533,-40.49255,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4029,Pousada Jeribá Unidade 9,contato@pousadajeribá9.com.br,(88) 991184-8677,26,Jericoacoara,CE,-2.791244,-40.526961,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4030,Pousada Jeribá Unidade 10,contato@pousadajeribá10.com.br,(88) 991894-1232,10,Jericoacoara,CE,-2.774378,-40.491186,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4031,Pousada Jeribá Unidade 11,contato@pousadajeribá11.com.br,(88) 991923-8923,26,Jericoacoara,CE,-2.791621,-40.508021,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4032,Pousada Jeribá Unidade 12,contato@pousadajeribá12.com.br,(88) 991810-6937,13,Jericoacoara,CE,-2.818157,-40.505354,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4033,Pousada Jeribá Unidade 13,contato@pousadajeribá13.com.br,(88) 991595-8592,26,Jericoacoara,CE,-2.808814,-40.504957,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4034,Pousada Jeribá Unidade 14,contato@pousadajeribá14.com.br,(88) 991312-7030,22,Jericoacoara,CE,-2.80496,-40.511781,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4035,Pousada Jeribá Unidade 15,contato@pousadajeribá15.com.br,(88) 991731-6592,26,Jericoacoara,CE,-2.797151,-40.489139,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4036,Pousada Jeribá Unidade 16,contato@pousadajeribá16.com.br,(88) 991217-2918,26,Jericoacoara,CE,-2.774208,-40.528738,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4037,Pousada Jeribá Unidade 17,contato@pousadajeribá17.com.br,(88) 991621-1070,15,Jericoacoara,CE,-2.780473,-40.489594,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4038,Pousada Jeribá Unidade 18,contato@pousadajeribá18.com.br,(88) 991516-1924,24,Jericoacoara,CE,-2.799834,-40.52986,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4039,Pousada Jeribá Unidade 19,contato@pousadajeribá19.com.br,(88) 991122-3651,26,Jericoacoara,CE,-2.799021,-40.536289,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4040,Pousada Jeribá Unidade 20,contato@pousadajeribá20.com.br,(88) 991234-5818,18,Jericoacoara,CE,-2.797625,-40.515794,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4041,Pousada Jeribá Unidade 21,contato@pousadajeribá21.com.br,(88) 991937-1031,17,Jericoacoara,CE,-2.818096,-40.503303,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4042,Pousada Jeribá Unidade 22,contato@pousadajeribá22.com.br,(88) 991327-7461,21,Jericoacoara,CE,-2.797751,-40.525385,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4043,Pousada Jeribá Unidade 23,contato@pousadajeribá23.com.br,(88) 991441-1192,20,Jericoacoara,CE,-2.770938,-40.533594,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4044,Pousada Jeribá Unidade 24,contato@pousadajeribá24.com.br,(88) 991806-5703,23,Jericoacoara,CE,-2.808142,-40.51923,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4045,Pousada Jeribá Unidade 25,contato@pousadajeribá25.com.br,(88) 991306-5806,15,Jericoacoara,CE,-2.805154,-40.509996,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4046,Pousada Jeribá Unidade 26,contato@pousadajeribá26.com.br,(88) 991626-6396,22,Jericoacoara,CE,-2.785263,-40.532647,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4047,Pousada Jeribá Unidade 27,contato@pousadajeribá27.com.br,(88) 991252-4170,21,Jericoacoara,CE,-2.777078,-40.524988,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4048,Pousada Jeribá Unidade 28,contato@pousadajeribá28.com.br,(88) 991881-4929,21,Jericoacoara,CE,-2.810265,-40.493747,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4049,Pousada Jeribá Unidade 29,contato@pousadajeribá29.com.br,(88) 991587-4909,25,Jericoacoara,CE,-2.790775,-40.503323,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4050,Pousada Jeribá Unidade 30,contato@pousadajeribá30.com.br,(88) 991763-8150,13,Jericoacoara,CE,-2.798208,-40.53825,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4051,Pousada Jeribá Unidade 31,contato@pousadajeribá31.com.br,(88) 991175-6039,27,Jericoacoara,CE,-2.786416,-40.510593,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4052,Pousada Jeribá Unidade 32,contato@pousadajeribá32.com.br,(88) 991419-5570,26,Jericoacoara,CE,-2.816852,-40.494511,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4053,Pousada Jeribá Unidade 33,contato@pousadajeribá33.com.br,(88) 991996-9835,18,Jericoacoara,CE,-2.773013,-40.5368,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4054,Pousada Jeribá Unidade 34,contato@pousadajeribá34.com.br,(88) 991744-2117,26,Jericoacoara,CE,-2.783786,-40.493401,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4055,Pousada Jeribá Unidade 35,contato@pousadajeribá35.com.br,(88) 991688-4552,21,Jericoacoara,CE,-2.795695,-40.526937,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4056,Pousada Jeribá Unidade 36,contato@pousadajeribá36.com.br,(88) 991415-9024,28,Jericoacoara,CE,-2.785263,-40.528943,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4057,Pousada Jeribá Unidade 37,contato@pousadajeribá37.com.br,(88) 991381-8626,18,Jericoacoara,CE,-2.80973,-40.508146,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4058,Pousada Jeribá Unidade 38,contato@pousadajeribá38.com.br,(88) 991467-6300,10,Jericoacoara,CE,-2.789914,-40.537949,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4059,Pousada Jeribá Unidade 39,contato@pousadajeribá39.com.br,(88) 991630-8334,21,Jericoacoara,CE,-2.817192,-40.506502,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4060,Pousada Jeribá Unidade 40,contato@pousadajeribá40.com.br,(88) 991619-8890,27,Jericoacoara,CE,-2.815163,-40.533876,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4061,Pousada Jeribá Unidade 41,contato@pousadajeribá41.com.br,(88) 991692-9842,13,Jericoacoara,CE,-2.811798,-40.489264,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4062,Pousada Jeribá Unidade 42,contato@pousadajeribá42.com.br,(88) 991247-8554,25,Jericoacoara,CE,-2.78748,-40.51559,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4063,Pousada Jeribá Unidade 43,contato@pousadajeribá43.com.br,(88) 991692-2629,13,Jericoacoara,CE,-2.803072,-40.530382,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4064,Pousada Jeribá Unidade 44,contato@pousadajeribá44.com.br,(88) 991946-5026,14,Jericoacoara,CE,-2.780152,-40.528224,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4065,Pousada Jeribá Unidade 45,contato@pousadajeribá45.com.br,(88) 991799-8533,20,Jericoacoara,CE,-2.798346,-40.501444,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4066,Pousada Jeribá Unidade 46,contato@pousadajeribá46.com.br,(88) 991114-3045,23,Jericoacoara,CE,-2.793055,-40.48982,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4067,Pousada Jeribá Unidade 47,contato@pousadajeribá47.com.br,(88) 991621-6498,19,Jericoacoara,CE,-2.788855,-40.501379,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4068,Pousada Jeribá Unidade 48,contato@pousadajeribá48.com.br,(88) 991891-6312,22,Jericoacoara,CE,-2.794265,-40.500231,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4069,Pousada Jeribá Unidade 49,contato@pousadajeribá49.com.br,(88) 991520-2536,22,Jericoacoara,CE,-2.788868,-40.537641,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4070,Pousada Jeribá Unidade 50,contato@pousadajeribá50.com.br,(88) 991544-9542,22,Jericoacoara,CE,-2.78061,-40.505054,MAX,HOT,96,96,99,Premium,financeiro,Vila,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4071,Pousada La Dolce Vita,contato@pousadaladolcevita1.com.br,(88) 991330-8219,12,Canoa Quebrada,CE,-12.995052,-38.514903,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4072,Pousada La Dolce Vita Unidade 2,contato@pousadaladolcevita2.com.br,(88) 991410-6119,16,Canoa Quebrada,CE,-12.984439,-38.519387,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4073,Pousada La Dolce Vita Unidade 3,contato@pousadaladolcevita3.com.br,(88) 991439-1800,18,Canoa Quebrada,CE,-12.95735,-38.478971,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4074,Pousada La Dolce Vita Unidade 4,contato@pousadaladolcevita4.com.br,(88) 991401-8611,15,Canoa Quebrada,CE,-12.969518,-38.50248,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4075,Pousada La Dolce Vita Unidade 5,contato@pousadaladolcevita5.com.br,(88) 991805-1701,24,Canoa Quebrada,CE,-12.950628,-38.477006,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4076,Pousada La Dolce Vita Unidade 6,contato@pousadaladolcevita6.com.br,(88) 991900-6106,20,Canoa Quebrada,CE,-12.977902,-38.521303,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4077,Pousada La Dolce Vita Unidade 7,contato@pousadaladolcevita7.com.br,(88) 991591-5158,10,Canoa Quebrada,CE,-12.97135,-38.486567,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4078,Pousada La Dolce Vita Unidade 8,contato@pousadaladolcevita8.com.br,(88) 991523-7448,15,Canoa Quebrada,CE,-12.978432,-38.525473,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4079,Pousada La Dolce Vita Unidade 9,contato@pousadaladolcevita9.com.br,(88) 991270-8873,11,Canoa Quebrada,CE,-12.946936,-38.525499,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4080,Pousada La Dolce Vita Unidade 10,contato@pousadaladolcevita10.com.br,(88) 991410-7440,10,Canoa Quebrada,CE,-12.990863,-38.509531,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4081,Pousada La Dolce Vita Unidade 11,contato@pousadaladolcevita11.com.br,(88) 991315-3691,13,Canoa Quebrada,CE,-12.984796,-38.498092,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4082,Pousada La Dolce Vita Unidade 12,contato@pousadaladolcevita12.com.br,(88) 991481-4521,24,Canoa Quebrada,CE,-12.987036,-38.523744,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4083,Pousada La Dolce Vita Unidade 13,contato@pousadaladolcevita13.com.br,(88) 991266-4713,23,Canoa Quebrada,CE,-12.949381,-38.47748,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
4084,Pousada La Dolce Vita Unidade 14,contato@pousadaladolcevita14.com.br,(88) 991272-2093,21,Canoa Quebrada,CE,-12.991726,-38.51239,MAX,HOT,96,96,99,Premium,financeiro,Broadway,R$ 450 - R$ 1.800,"Perfil premium, focado em ocupação estrangeira.",Sinais de dor com comissões de OTAs (Trauma).,,Validado via Nordeste Hyper-Sweep,POUSADAS_NORDESTE_BR.xlsx
